tcp-traceroute from 192.168.100.4 to 104.20.67.46
 1  192.168.100.1  1.005 ms ICMP
 2  202.163.124.100  2.390 ms ICMP
 3  192.168.146.53  4.774 ms ICMP
 4  202.163.124.57  2.888 ms ICMP
 5  116.71.134.65  4.972 ms ICMP
 6  221.120.223.53  6.297 ms ICMP
 7  221.120.254.18  25.416 ms ICMP
 8  221.120.251.101  24.671 ms ICMP
 9  221.120.200.3  38.480 ms ICMP
10  104.20.67.46  21.864 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.25.116.16
 1  192.168.100.1  0.883 ms ICMP
 2  202.163.124.100  2.578 ms ICMP
 3  192.168.146.53  7.921 ms ICMP
 4  202.163.124.57  3.210 ms ICMP
 5  116.71.134.65  2.700 ms ICMP
 6  221.120.223.57  4.187 ms ICMP
 7  221.120.254.49  21.875 ms ICMP
 8  221.120.251.88  20.487 ms ICMP
 9  221.120.200.3  22.593 ms ICMP
10  104.25.116.16  23.000 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.28.4.15
 1  192.168.100.1  1.190 ms ICMP
 2  202.163.124.100  17.310 ms ICMP
 3  192.168.146.53  4.806 ms ICMP
 4  202.163.124.57  2.801 ms ICMP
 5  116.71.134.65  2.986 ms ICMP
 6  221.120.223.53  4.334 ms ICMP
 7  221.120.254.18  27.933 ms ICMP
 8  221.120.251.101  23.836 ms ICMP
 9  221.120.200.3  23.325 ms ICMP
10  104.28.4.15  22.086 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.24.99.22
 1  192.168.100.1  1.001 ms ICMP
 2  202.163.124.100  2.219 ms ICMP
 3  192.168.146.53  49.668 ms ICMP
 4  202.163.124.57  4.163 ms ICMP
 5  116.71.134.65  5.294 ms ICMP
 6  221.120.223.53  3.952 ms ICMP
 7  221.120.254.18  27.583 ms ICMP
 8  221.120.251.101  24.692 ms ICMP
 9  221.120.200.3  37.567 ms ICMP
10  104.24.99.22  20.773 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 153.92.0.100
 1  192.168.100.1  38.397 ms ICMP
 2  202.163.124.100  2.337 ms ICMP
 3  192.168.146.53  32.935 ms ICMP
 4  202.163.124.57  2.811 ms ICMP
 5  116.71.134.65  2.945 ms ICMP
 6  221.120.223.53  4.819 ms ICMP
 7  221.120.254.18  25.367 ms ICMP
 8  202.125.128.134  24.239 ms ICMP
 9  195.22.197.66  118.976 ms ICMP
10  195.22.208.79  147.209 ms ICMP
11  *
12  4.69.210.174  260.996 ms ICMP
13  4.14.96.34  237.870 ms ICMP
14  74.112.175.33  243.049 ms ICMP
15  74.112.174.249  240.730 ms ICMP
16  74.112.175.19  242.171 ms ICMP
17  208.69.231.18  242.527 ms ICMP
18  153.92.0.100  240.289 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.27.163.88
 1  192.168.100.1  0.914 ms ICMP
 2  202.163.124.100  2.322 ms ICMP
 3  192.168.146.53  35.047 ms ICMP
 4  202.163.124.57  2.803 ms ICMP
 5  116.71.134.65  3.099 ms ICMP
 6  221.120.223.53  6.700 ms ICMP
 7  221.120.254.18  24.910 ms ICMP
 8  221.120.251.101  23.808 ms ICMP
 9  221.120.200.3  22.396 ms ICMP
10  104.27.163.88  24.475 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 124.248.227.118
 1  192.168.100.1  0.916 ms ICMP
 2  202.163.124.100  2.393 ms ICMP
 3  192.168.146.53  4.789 ms ICMP
 4  202.163.124.57  2.893 ms ICMP
 5  116.71.134.65  2.865 ms ICMP
 6  221.120.223.53  4.286 ms ICMP
 7  221.120.254.18  23.696 ms ICMP
 8  221.120.248.3  22.670 ms ICMP
 9  195.22.197.118  120.627 ms ICMP
10  149.3.183.60  167.699 ms ICMP
11  134.159.95.229  157.074 ms ICMP
12  202.40.148.33  160.226 ms ICMP
13  202.84.141.145  293.096 ms ICMP
14  202.40.148.106  297.428 ms ICMP
15  202.84.137.233  444.397 ms ICMP
16  202.84.157.34  442.286 ms ICMP
17  61.8.40.150  441.395 ms ICMP
18  *
19  124.248.227.118  443.117 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.31.115.188
 1  192.168.100.1  0.878 ms ICMP
 2  202.163.124.100  22.240 ms ICMP
 3  192.168.146.53  4.746 ms ICMP
 4  202.163.124.57  4.198 ms ICMP
 5  116.71.134.65  2.920 ms ICMP
 6  221.120.223.57  4.929 ms ICMP
 7  221.120.254.49  24.796 ms ICMP
 8  221.120.251.88  20.357 ms ICMP
 9  221.120.200.3  21.788 ms ICMP
10  104.31.115.188  19.763 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 43.249.1.92
 1  192.168.100.1  0.962 ms ICMP
 2  202.163.124.100  2.365 ms ICMP
 3  192.168.146.53  4.802 ms ICMP
 4  202.163.124.57  2.852 ms ICMP
 5  116.71.134.65  2.910 ms ICMP
 6  221.120.223.53  6.128 ms ICMP
 7  221.120.254.18  27.385 ms ICMP
 8  202.125.128.134  23.366 ms ICMP
 9  195.22.197.122  119.760 ms ICMP
10  195.22.211.36  153.972 ms ICMP
11  62.115.149.0  148.511 ms ICMP
12  62.115.120.7  303.443 ms ICMP
13  62.115.133.181  208.735 ms ICMP
14  62.115.138.209  305.446 ms ICMP
15  213.248.78.66  307.885 ms ICMP
16  113.10.229.161  306.786 ms ICMP
17  113.10.229.99  308.669 ms ICMP
18  113.10.231.134  305.338 ms ICMP
19  210.245.171.138  307.760 ms ICMP
20  43.249.1.92  307.483 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.18.35.217
 1  *
 2  202.163.124.100  2.534 ms ICMP
 3  192.168.146.53  7.958 ms ICMP
 4  202.163.124.57  2.746 ms ICMP
 5  116.71.134.65  2.898 ms ICMP
 6  221.120.223.57  4.352 ms ICMP
 7  221.120.254.49  28.353 ms ICMP
 8  221.120.251.88  23.406 ms ICMP
 9  221.120.200.3  24.900 ms ICMP
10  104.18.35.217  27.526 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.27.163.199
 1  *
 2  202.163.124.100  27.469 ms ICMP
 3  192.168.146.53  4.784 ms ICMP
 4  202.163.124.57  2.816 ms ICMP
 5  116.71.134.65  2.963 ms ICMP
 6  221.120.223.57  3.202 ms ICMP
 7  221.120.254.49  22.254 ms ICMP
 8  221.120.251.88  20.495 ms ICMP
 9  221.120.200.3  21.923 ms ICMP
10  104.27.163.199  21.856 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.18.55.175
 1  *
 2  202.163.124.100  2.246 ms ICMP
 3  192.168.146.53  9.357 ms ICMP
 4  202.163.124.57  3.910 ms ICMP
 5  116.71.134.65  3.024 ms ICMP
 6  221.120.223.53  5.308 ms ICMP
 7  221.120.254.18  25.801 ms ICMP
 8  221.120.251.101  24.078 ms ICMP
 9  221.120.200.3  24.135 ms ICMP
10  104.18.55.175  20.372 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.27.144.118
 1  *
 2  202.163.124.100  2.251 ms ICMP
 3  192.168.146.53  10.692 ms ICMP
 4  202.163.124.57  2.855 ms ICMP
 5  116.71.134.65  2.875 ms ICMP
 6  221.120.223.53  3.762 ms ICMP
 7  221.120.254.18  27.870 ms ICMP
 8  221.120.251.101  24.625 ms ICMP
 9  221.120.200.3  23.254 ms ICMP
10  104.27.144.118  22.806 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.31.78.3
 1  *
 2  202.163.124.100  2.262 ms ICMP
 3  192.168.146.53  7.109 ms ICMP
 4  202.163.124.57  2.897 ms ICMP
 5  116.71.134.65  2.971 ms ICMP
 6  221.120.223.53  5.206 ms ICMP
 7  221.120.254.18  24.295 ms ICMP
 8  221.120.251.101  22.213 ms ICMP
 9  221.120.200.3  20.592 ms ICMP
10  104.31.78.3  18.811 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.24.125.189
 1  *
 2  202.163.124.100  17.644 ms ICMP
 3  192.168.146.53  6.485 ms ICMP
 4  202.163.124.57  2.618 ms ICMP
 5  116.71.134.65  2.834 ms ICMP
 6  221.120.223.57  3.844 ms ICMP
 7  221.120.254.49  24.743 ms ICMP
 8  221.120.251.88  20.221 ms ICMP
 9  221.120.200.3  21.715 ms ICMP
10  104.24.125.189  22.795 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.27.158.64
 1  192.168.100.1  0.963 ms ICMP
 2  202.163.124.100  2.425 ms ICMP
 3  192.168.146.53  68.767 ms ICMP
 4  202.163.124.57  3.408 ms ICMP
 5  116.71.134.65  3.145 ms ICMP
 6  221.120.223.57  5.318 ms ICMP
 7  221.120.254.49  23.201 ms ICMP
 8  221.120.251.88  20.570 ms ICMP
 9  221.120.200.3  21.966 ms ICMP
10  104.27.158.64  21.817 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.28.13.190
 1  *
 2  202.163.124.100  2.465 ms ICMP
 3  192.168.146.53  9.611 ms ICMP
 4  202.163.124.57  2.809 ms ICMP
 5  116.71.134.65  2.851 ms ICMP
